,0
ahora,1
sector,2
espolón,1
comuna,3
futaleufú,5
maquinaria,1
están,1
reponiendo,1
accesos,1
puentes,1
dañado,1
río,1
grande,1
muchas,1
aguas,1
solo,1
estas,1
imágenes,1
alma,1
aún,1
descansa,1
hermoso,1
lugar,1
dicen,1
funcionarias,1
oficina,2
protección,2
derechos,1
reciben,1
seremi,4
directora,4
junto,3
regional,1
visita,2
hizo,2
oficial,2
sala,3
tanatología,2
hospital,3
vía,1
huemul,1
porque,1
prioriza,1
directoras,2
buenos,1
días,1
recordamos,1
para,3
martes,2
noviembre,2
debido,1
trabajos,1
manten,1
mañana,1
comunicamos,1
brigadas,1
requieren,1
líneas,1
equipo,1
fosis,1
emprendimiento,1
comida,1
casera,1
mama,1
lita,1
margarita,1
mundaca,1
azul,1
alcalde,1
fernando,1
grandon,1
director,1
desde,2
estudiantes,2
escuela,2
acompañan,2
obra,2
anacleta,2
avara,2
visitan,1
morgue,1
profesional,1
tana,1
continuamos,1
reunión,1
encabezada,1
mítico,1
javier,1
villegas,1
futaleufu,1
pamelamilla,1
feliz,1
cuento,1
saqué,1
fotos,1
aquí,1
