palabra,instancia
cajalosandes,4
patonavar,1
dieguvargas,1
pschile,1
senadoresps,1
psosorno,1
lamega903,1
libertad,1
expresion,1
jajaja,2
carabineros,5
quito,1
toda,2
bandera,1
mapuche,1
entradas,2
estadi,1
grissrom,4
jajajaja,1
estare,1
esperandolo,1
quede,1
intrigada,1
osorno,152
camiones,1
chocaron,1
frente,1
explotaron,1
puente,8
rahue,5
piensaprensa,1
alguien,2
tratando,1
chulo,1
agente,1
saca,1
piscina,1
calle,2
viernes,1
invita,1
participar,1
presentacion,1
libro,1
nuevo,6
sistema,4
pensiones,1
chile,7
junto,1
grabaste,1
cancion,1
reggaeton,1
nunca,2
jeje,1
gracias,1
compartirlo,1
mmmm,1
regiones,8
estan,2
santiago,3
pega,1
sc31678,1
alomejor,1
vienen,2
mucha,1
electricidad,1
ayuda,1
encender,1
ampolletas,1
saludos,2
semaforo,1
apagado,1
esquina,1
cesar,1
ercilla,1
carrera,1
precaucion,1
buses,1
velocida,1
agrupaciones,2
repudian,2
actuar,2
funcionarias,2
integra,3
llega,2
batallon,1
apostol,1
jesucristo,1
region,3
lagos,4
diciembre,1
quedar,1
deatrescl,3
aqui,2
lejos,2
mamazeynepcl,1
claudpp,2
mega,3
turcasmega,2
apoyo,2
peticion,2
joven,2
rescatado,3
luis,2
bustos,2
misma,2
persona,11
semanas,1
atras,2
rescato,1
pareja,1
favor,3
envienle,1
tanachile,1
gabrifsar,1
dracorderomv,1
consejales,1
alcalde,1
china,1
capacitarse,1
supo,1
sirvio,1
movilizacion,1
termino,1
incidentes,1
mujeres,1
detenidas,1
cerca,1
vida,1
botero,1
emilio,1
acum,1
fiel,1
compane,1
sres,1
mopchile,1
provincia,1
seguridad,1
familias,1
pueden,1
esperar,1
sinfonia,1
montana,2
manana,3
seminario,1
medicina,1
ultimas,1
welcu,1
ambiental,1
ciudadana,1
denuncio,1
nuevos,1
indicios,1
cauce,1
damas,2
chvnoticias,1
hace,3
casi,1
horas,1
volvio,15
media,1
hora,4
dejo,1
mensaje,1
noticiero,1
penca,1
seguir,1
weaita,1
echarle,1
culpa,1
prensa,1
desarrollo,2
causas,1
hecho,1
investigadas,1
ceciliamorel,1
gobosorno,1
wainraihgt,1
intloslagos,1
hermosa,1
actividad,1
estrenen,1
casa,3
jack,1
construyo,1
richyosorno,1
hardyasenjo,1
webees,1
pohh,1
mira,1
volcan,1
duerme,1
completo,1
umathurman,1
mattdillon,1
estrenenla,1
cinemark,1
tres,2
temuco,12
puerto,5
montt,5
corte,13
suministro,4
electrico,6
afecto,1
valdivia,5
madre,1
espera,1
resultados,1
confirmarian,1
descartarian,1
leucemia,1
prometi,1
googlear,1
quiero,2
ofensivo,1
burns,1
hizo,1
cortedeluz,28
ayer,4
agua,5
ahora,13
aprovechando,2
casualidad,1
llamar,1
vicente,1
ramirez,3
probable,1
companero,1
curso,1
museo,1
naval,1
aguas,2
altiplano,1
retreta,1
plaza,1
prat,1
llaman,1
utilizar,1
bolsas,1
plasticas,1
arica,1
marudelux,1
acuerdas,1
dije,1
pasaban,1
muchas,1
cosas,2
bueno,2
bomberos,6
unidad,2
asiste,3
pedro,7
lugar,3
caida,8
preinforme,2
trat,1
karina,1
muere,1
ojala,2
feliciano,1
tome,1
caso,1
habra,1
huellas,1
botella,1
despertara,1
sospechas,1
mundoc13,3
llego,24
familia,1
preguntaba,1
exxikon,1
onda,2
cago,1
yeta,1
trato,1
cayo,1
siendo,1
terceros,1
registra,1
equipos,1
emergencia,1
bandres25,1
huaso,1
solo,2
conocen,1
potable,2
2255hrs,1
habria,1
caido,1
procede,1
llamado,1
rescate,1
pedroen,1
informan,2
rilharreguy,1
pensamos,1
bien,1
patios,1
casas,2
hacia,1
rios,2
serios,1
trab,1
perroamor232,1
biobio,10
cooperativa,3
tras,1
comienza,4
retornar,4
puyehue,4
villarrica,5
dirige,1
caudal,1
acuden,1
saesa,21
nuevamente,3
quemas,1
cuenta,1
energia,11
electrica,7
totalidad,2
razon,1
corto,3
justo,2
presidente,1
habla,1
problemas,2
lados,2
desactivan,1
comentarios,1
alas,1
transelec,2
tercera,2
siempre,1
climaticos,1
comenzaba,1
novela,1
veian,1
cualquier,1
ovnis,1
radiosago,2
sector,9
centro,2
riobueno,4
pucon,3
reconocer,1
funciona,1
mejor,2
essalayuda,1
onemichile,3
bandresvb,2
tianeendler,2
grande,3
mejores,1
colocolina,1
chilena,1
digna,1
mujer,1
luuuuuz,1
apple,1
partes,1
viva,1
pinera,1
viejo,1
lesbiano,1
jajajaj,1
clave9cl,2
maravilla,1
city,1
andan,2
delincuentes,1
tirando,1
balasos,1
francke,3
usuarios,1
reportan,3
masivo,2
varas,1
restituye,1
comuna,1
tlavadoc,1
falta,2
calles,2
alto,2
tormenta,1
causo,1
apagon,3
chiloe,4
bajen,1
automaticos,1
puede,2
pilauco,1
sectores,2
villarica,1
volviendo,3
ovejeria,1
normal,1
escusa,1
sonara,1
alarma,1
alcanzo,1
descargar,1
telefono,1
devuelvan,1
luuuuz,1
witgenuino,1
tambien,2
mientras,2
trabajando,1
reestablecer,1
losrios,2
puertomontt,5
senores,1
jose,1
mariquina,1
comenzado,1
volver,3
menos,3
extranaria,1
ultima,1
tener,2
rahuealto,1
lato,1
tiempo,1
normalizando,1
servicio,4
vivo,1
llegando,1
jardin,1
geosorno01,1
osornonews,2
jajajjaja,1
inevitable,1
publicar,1
cayendo,1
pedazos,1
canales,1
television,1
continuan,1
programacion,1
decir,1
suceden,1
frontel,1
rnearaucania,4
vuelve,1
retorna,1
yajuuuuuu,1
farmacia,1
turno,1
ahumada,1
buhler,1
conifera,1
parece,1
puertito,1
francos,1
encuentra,1
traves,2
clientes,1
loslagos,1
dicen,2
seguira,1
cortando,1
cuidado,1
idea,1
varias,3
ciudades,3
pasa,2
igual,2
estaria,2
retornando,1
manera,1
paulatina,1
acaba,2
cuanto,1
dura,1
sigue,1
luzzzz,1
dhreezmuzik,1
rearaucania,2
cgeclientes,2
cilicio2008,1
loxechinus,1
uocttemuco,1
llegar,2
